geoid,name,median
39129,"Pickaway County, Ohio",62214
17151,"Pope County, Illinois",40671
54105,"Wirt County, West Virginia",40189
12091,"Okaloosa County, Florida",62048
21151,"Madison County, Kentucky",48687
37115,"Madison County, North Carolina",42410
01133,"Winston County, Alabama",38504
29187,"St. Francois County, Missouri",45774
54047,"McDowell County, West Virginia",26547
37107,"Lenoir County, North Carolina",38387
31085,"Hayes County, Nebraska",45515
31177,"Washington County, Nebraska",70753
55123,"Vernon County, Wisconsin",50905
01077,"Lauderdale County, Alabama",46265
19087,"Henry County, Iowa",52428
40025,"Cimarron County, Oklahoma",46071
13159,"Jasper County, Georgia",43284
50013,"Grand Isle County, Vermont",69583
51131,"Northampton County, Virginia",43553
47167,"Tipton County, Tennessee",60167
28013,"Calhoun County, Mississippi",36440
26057,"Gratiot County, Michigan",44991
20167,"Russell County, Kansas",52806
47073,"Hawkins County, Tennessee",40335
48441,"Taylor County, Texas",50818
20125,"Montgomery County, Kansas",45173
19015,"Boone County, Iowa",61111
54075,"Pocahontas County, West Virginia",39702
01083,"Limestone County, Alabama",56460
35027,"Lincoln County, New Mexico",42267
27073,"Lac qui Parle County, Minnesota",52199
49049,"Utah County, Utah",70408
27101,"Murray County, Minnesota",57500
02275,"Wrangell City and Borough, Alaska",57583
01107,"Pickens County, Alabama",37458
17165,"Saline County, Illinois",41167
48117,"Deaf Smith County, Texas",51841
39121,"Noble County, Ohio",47456
38007,"Billings County, North Dakota",92604
54063,"Monroe County, West Virginia",36493
35047,"San Miguel County, New Mexico",31660
27139,"Scott County, Minnesota",97744
26011,"Arenac County, Michigan",40769
18021,"Clay County, Indiana",53021
31185,"York County, Nebraska",59779
22115,"Vernon Parish, Louisiana",47772
02100,"Haines Borough, Alaska",64342
48437,"Swisher County, Texas",38418
13139,"Hall County, Georgia",59898
29031,"Cape Girardeau County, Missouri",51730
05099,"Nevada County, Arkansas",37635
54045,"Logan County, West Virginia",38123
40149,"Washita County, Oklahoma",52510
72039,"Ciales Municipio, Puerto Rico",15071
53065,"Stevens County, Washington",49200
49029,"Morgan County, Utah",89274
46045,"Edmunds County, South Dakota",68551
21033,"Caldwell County, Kentucky",44940
18011,"Boone County, Indiana",80567
31163,"Sherman County, Nebraska",51172
16057,"Latah County, Idaho",45466
48153,"Floyd County, Texas",48555
16051,"Jefferson County, Idaho",60162
37123,"Montgomery County, North Carolina",42346
48099,"Coryell County, Texas",51440
20067,"Grant County, Kansas",55455
20021,"Cherokee County, Kansas",41103
47061,"Grundy County, Tennessee",36987
47079,"Henry County, Tennessee",40837
53043,"Lincoln County, Washington",50744
30013,"Cascade County, Montana",48160
13075,"Cook County, Georgia",38408
41015,"Curry County, Oregon",46396
13051,"Chatham County, Georgia",54911
34003,"Bergen County, New Jersey",95837
21173,"Montgomery County, Kentucky",41974
13309,"Wheeler County, Georgia",27626
28091,"Marion County, Mississippi",31446
51580,"Covington city, Virginia",39432
51087,"Henrico County, Virginia",68572
18075,"Jay County, Indiana",44772
51059,"Fairfax County, Virginia",121133
48027,"Bell County, Texas",54184
13029,"Bryan County, Georgia",71322
37145,"Person County, North Carolina",48811
37099,"Jackson County, North Carolina",44028
28157,"Wilkinson County, Mississippi",26599
06045,"Mendocino County, California",49233
53021,"Franklin County, Washington",62002
29003,"Andrew County, Missouri",55683
51720,"Norton city, Virginia",28071
48179,"Gray County, Texas",47170
48095,"Concho County, Texas",43355
25011,"Franklin County, Massachusetts",59522
21071,"Floyd County, Kentucky",31267
01045,"Dale County, Alabama",45960
06025,"Imperial County, California",45834
13033,"Burke County, Georgia",42773
22071,"Orleans Parish, Louisiana",39576
06021,"Glenn County, California",47395
30055,"McCone County, Montana",47500
48037,"Bowie County, Texas",47505
02158,"Kusilvak Census Area, Alaska",35539
01079,"Lawrence County, Alabama",44515
01061,"Geneva County, Alabama",38142
29189,"St. Louis County, Missouri",65300
54013,"Calhoun County, West Virginia",37610
21141,"Logan County, Kentucky",43842
38081,"Sargent County, North Dakota",67200
27017,"Carlton County, Minnesota",60390
22043,"Grant Parish, Louisiana",40792
41005,"Clackamas County, Oregon",76597
05015,"Carroll County, Arkansas",43505
12105,"Polk County, Florida",48500
22005,"Ascension Parish, Louisiana",76589
16049,"Idaho County, Idaho",39113
22069,"Natchitoches Parish, Louisiana",27795
08003,"Alamosa County, Colorado",39191
51550,"Chesapeake city, Virginia",75790
46085,"Lyman County, South Dakota",53263
27001,"Aitkin County, Minnesota",45989
55073,"Marathon County, Wisconsin",59543
45017,"Calhoun County, South Carolina",44534
51810,"Virginia Beach city, Virginia",74186
53009,"Clallam County, Washington",49913
72035,"Cayey Municipio, Puerto Rico",21320
55065,"Lafayette County, Wisconsin",59629
21197,"Powell County, Kentucky",36958
20023,"Cheyenne County, Kansas",46833
13237,"Putnam County, Georgia",51245
45027,"Clarendon County, South Carolina",37525
19195,"Worth County, Iowa",54329
51013,"Arlington County, Virginia",117374
55127,"Walworth County, Wisconsin",61106
18067,"Howard County, Indiana",50869
27013,"Blue Earth County, Minnesota",55861
45029,"Colleton County, South Carolina",36276
22127,"Winn Parish, Louisiana",35398
72075,"Juana Dï¿½az Municipio, Puerto Rico",20845
54019,"Fayette County, West Virginia",40379
47053,"Gibson County, Tennessee",41886
08015,"Chaffee County, Colorado",54580
13201,"Miller County, Georgia",42927
20177,"Shawnee County, Kansas",55199
05059,"Hot Spring County, Arkansas",41262
42111,"Somerset County, Pennsylvania",48224
39099,"Mahoning County, Ohio",44682
45041,"Florence County, South Carolina",45479
48405,"San Augustine County, Texas",35509
16055,"Kootenai County, Idaho",54457
17111,"McHenry County, Illinois",84803
01027,"Clay County, Alabama",41225
05049,"Fulton County, Arkansas",36184
19113,"Linn County, Iowa",64862
36121,"Wyoming County, New York",57914
05027,"Columbia County, Arkansas",36148
30077,"Powell County, Montana",49652
22101,"St. Mary Parish, Louisiana",40485
48487,"Wilbarger County, Texas",48773
37023,"Burke County, North Carolina",42516
56019,"Johnson County, Wyoming",55991
27135,"Roseau County, Minnesota",59644
17119,"Madison County, Illinois",57890
48169,"Garza County, Texas",55039
53047,"Okanogan County, Washington",45808
27081,"Lincoln County, Minnesota",52301
21209,"Scott County, Kentucky",66966
48453,"Travis County, Texas",71767
34019,"Hunterdon County, New Jersey",112535
29009,"Barry County, Missouri",41463
51183,"Sussex County, Virginia",45801
20181,"Sherman County, Kansas",52847
72055,"Guï¿½nica Municipio, Puerto Rico",13242
20015,"Butler County, Kansas",63272
42033,"Clearfield County, Pennsylvania",47270
21113,"Jessamine County, Kentucky",56728
01085,"Lowndes County, Alabama",30833
13269,"Taylor County, Georgia",33442
19135,"Monroe County, Iowa",49549
48235,"Irion County, Texas",54706
51029,"Buckingham County, Virginia",46261
48113,"Dallas County, Texas",56854
31157,"Scotts Bluff County, Nebraska",50157
55017,"Chippewa County, Wisconsin",57288
17117,"Macoupin County, Illinois",53778
35043,"Sandoval County, New Mexico",59420
20007,"Barber County, Kansas",50613
28113,"Pike County, Mississippi",30910
47137,"Pickett County, Tennessee",41004
49027,"Millard County, Utah",60445
49007,"Carbon County, Utah",50278
36123,"Yates County, New York",54343
28111,"Perry County, Mississippi",39007
21043,"Carter County, Kentucky",33067
17007,"Boone County, Illinois",66898
48241,"Jasper County, Texas",46088
48389,"Reeves County, Texas",58384
54005,"Boone County, West Virginia",38642
41053,"Polk County, Oregon",58344
37151,"Randolph County, North Carolina",45006
26017,"Bay County, Michigan",48005
39055,"Geauga County, Ohio",79956
26051,"Gladwin County, Michigan",43290
55077,"Marquette County, Wisconsin",49586
13267,"Tattnall County, Georgia",38034
16011,"Bingham County, Idaho",51288
21067,"Fayette County, Kentucky",54918
55039,"Fond du Lac County, Wisconsin",59373
24035,"Queen Anne's County, Maryland",92167
12023,"Columbia County, Florida",44491
72011,"Aï¿½asco Municipio, Puerto Rico",19379
40151,"Woods County, Oklahoma",56899
72101,"Morovis Municipio, Puerto Rico",20589
25005,"Bristol County, Massachusetts",66157
34029,"Ocean County, New Jersey",68021
36065,"Oneida County, New York",53844
26153,"Schoolcraft County, Michigan",40747
32005,"Douglas County, Nevada",62503
18063,"Hendricks County, Indiana",78355
27019,"Carver County, Minnesota",97895
39153,"Summit County, Ohio",55448
22119,"Webster Parish, Louisiana",30358
39027,"Clinton County, Ohio",51354
30065,"Musselshell County, Montana",41612
38067,"Pembina County, North Dakota",64962
37087,"Haywood County, North Carolina",49800
49023,"Juab County, Utah",62237
51197,"Wythe County, Virginia",48043
45025,"Chesterfield County, South Carolina",40033
08117,"Summit County, Colorado",77589
29197,"Schuyler County, Missouri",39697
17067,"Hancock County, Illinois",51549
31101,"Keith County, Nebraska",48901
54093,"Tucker County, West Virginia",45655
47069,"Hardeman County, Tennessee",38651
20013,"Brown County, Kansas",48547
01055,"Etowah County, Alabama",44023
24037,"St. Mary's County, Maryland",90438
28045,"Hancock County, Mississippi",47543
30071,"Phillips County, Montana",46222
48423,"Smith County, Texas",53511
72021,"Bayamï¿½n Municipio, Puerto Rico",26017
51590,"Danville city, Virginia",36301
17161,"Rock Island County, Illinois",52630
51155,"Pulaski County, Virginia",52638
48251,"Johnson County, Texas",62066
48379,"Rains County, Texas",49872
51685,"Manassas Park city, Virginia",80667
72131,"San Sebastiï¿½n Municipio, Puerto Rico",14812
20121,"Miami County, Kansas",69150
12009,"Brevard County, Florida",54359
31009,"Blaine County, Nebraska",50870
48261,"Kenedy County, Texas",36125
19025,"Calhoun County, Iowa",50800
48167,"Galveston County, Texas",69369
51595,"Emporia city, Virginia",30857
55105,"Rock County, Wisconsin",55832
26039,"Crawford County, Michigan",47443
19003,"Adams County, Iowa",49229
48255,"Karnes County, Texas",52252
29135,"Moniteau County, Missouri",54828
04011,"Greenlee County, Arizona",60962
26137,"Otsego County, Michigan",52645
08093,"Park County, Colorado",66861
26079,"Kalkaska County, Michigan",46004
27067,"Kandiyohi County, Minnesota",59089
20051,"Ellis County, Kansas",52700
36001,"Albany County, New York",64535
51175,"Southampton County, Virginia",54611
39101,"Marion County, Ohio",45464
31181,"Webster County, Nebraska",42298
13239,"Quitman County, Georgia",30000
13013,"Barrow County, Georgia",57348
29085,"Hickory County, Missouri",36190
16083,"Twin Falls County, Idaho",50778
26035,"Clare County, Michigan",37369
42059,"Greene County, Pennsylvania",54121
16073,"Owyhee County, Idaho",40430
27083,"Lyon County, Minnesota",55525
16031,"Cassia County, Idaho",50918
35055,"Taos County, New Mexico",36758
20097,"Kiowa County, Kansas",51336
56037,"Sweetwater County, Wyoming",73008
47107,"McMinn County, Tennessee",41398
29227,"Worth County, Missouri",52500
39065,"Hardin County, Ohio",48773
49001,"Beaver County, Utah",54212
40013,"Bryan County, Oklahoma",43245
48295,"Lipscomb County, Texas",57372
08065,"Lake County, Colorado",46918
29119,"McDonald County, Missouri",42019
27087,"Mahnomen County, Minnesota",44537
48047,"Brooks County, Texas",27378
26159,"Van Buren County, Michigan",52351
72009,"Aibonito Municipio, Puerto Rico",19720
47027,"Clay County, Tennessee",31487
17101,"Lawrence County, Illinois",45654
19055,"Delaware County, Iowa",61179
48275,"Knox County, Texas",46146
21079,"Garrard County, Kentucky",49888
12109,"St. Johns County, Florida",77323
38099,"Walsh County, North Dakota",54414
48131,"Duval County, Texas",37382
13291,"Union County, Georgia",44978
36043,"Herkimer County, New York",51862
21061,"Edmonson County, Kentucky",41360
21065,"Estill County, Kentucky",31337
28163,"Yazoo County, Mississippi",31402
13275,"Thomas County, Georgia",40112
37057,"Davidson County, North Carolina",47271
48001,"Anderson County, Texas",43355
24047,"Worcester County, Maryland",61145
13207,"Monroe County, Georgia",54050
01097,"Mobile County, Alabama",46166
40061,"Haskell County, Oklahoma",39375
48305,"Lynn County, Texas",43524
19175,"Union County, Iowa",47518
26081,"Kent County, Michigan",60351
18047,"Franklin County, Indiana",58382
27015,"Brown County, Minnesota",57728
37093,"Hoke County, North Carolina",47535
21035,"Calloway County, Kentucky",40219
40079,"Le Flore County, Oklahoma",39769
55035,"Eau Claire County, Wisconsin",55711
17055,"Franklin County, Illinois",41414
47089,"Jefferson County, Tennessee",47264
21121,"Knox County, Kentucky",28790
26067,"Ionia County, Michigan",54343
19099,"Jasper County, Iowa",55727
41027,"Hood River County, Oregon",62935
51041,"Chesterfield County, Virginia",80214
55117,"Sheboygan County, Wisconsin",58943
01123,"Tallapoosa County, Alabama",43361
56035,"Sublette County, Wyoming",78680
21097,"Harrison County, Kentucky",49696
20165,"Rush County, Kansas",40598
01005,"Barbour County, Alabama",34186
02130,"Ketchikan Gateway Borough, Alaska",70356
26127,"Oceana County, Michigan",46217
40017,"Canadian County, Oklahoma",71157
49019,"Grand County, Utah",48673
29201,"Scott County, Missouri",42231
06105,"Trinity County, California",38497
53073,"Whatcom County, Washington",59285
45007,"Anderson County, South Carolina",47906
39001,"Adams County, Ohio",36894
20171,"Scott County, Kansas",71394
05095,"Monroe County, Arkansas",35190
12007,"Bradford County, Florida",46197
48457,"Tyler County, Texas",43936
46071,"Jackson County, South Dakota",33438
26083,"Keweenaw County, Michigan",49779
38035,"Grand Forks County, North Dakota",51951
51081,"Greensville County, Virginia",44534
02016,"Aleutians West Census Area, Alaska",85517
02068,"Denali Borough, Alaska",84196
39087,"Lawrence County, Ohio",44372
13197,"Marion County, Georgia",44309
49045,"Tooele County, Utah",71020
20047,"Edwards County, Kansas",49293
32031,"Washoe County, Nevada",61155
37085,"Harnett County, North Carolina",51630
55045,"Green County, Wisconsin",62699
04023,"Santa Cruz County, Arizona",40467
42051,"Fayette County, Pennsylvania",44476
39169,"Wayne County, Ohio",56348
51710,"Norfolk city, Virginia",49146
30025,"Fallon County, Montana",60750
08039,"Elbert County, Colorado",96658
13257,"Stephens County, Georgia",43416
39167,"Washington County, Ohio",48572
36105,"Sullivan County, New York",56256
21239,"Woodford County, Kentucky",62629
53011,"Clark County, Washington",71636
28029,"Copiah County, Mississippi",40361
21117,"Kenton County, Kentucky",61606
27147,"Steele County, Minnesota",62731
17181,"Union County, Illinois",49182
01047,"Dallas County, Alabama",31602
47161,"Stewart County, Tennessee",42269
30063,"Missoula County, Montana",51270
24510,"Baltimore city, Maryland",48840
06091,"Sierra County, California",48125
31051,"Dixon County, Nebraska",56775
36109,"Tompkins County, New York",58743
17015,"Carroll County, Illinois",51228
48479,"Webb County, Texas",42293
49055,"Wayne County, Utah",44694
41001,"Baker County, Oregon",43921
36059,"Nassau County, New York",111240
39151,"Stark County, Ohio",52190
53067,"Thurston County, Washington",69592
02188,"Northwest Arctic Borough, Alaska",62949
49009,"Daggett County, Utah",81250
51079,"Greene County, Virginia",64979
12073,"Leon County, Florida",51201
46027,"Clay County, South Dakota",43189
37079,"Greene County, North Carolina",38306
55109,"St. Croix County, Wisconsin",81124
45091,"York County, South Carolina",62431
47163,"Sullivan County, Tennessee",43442
18045,"Fountain County, Indiana",49887
72119,"Rï¿½o Grande Municipio, Puerto Rico",22509
21129,"Lee County, Kentucky",23972
20113,"McPherson County, Kansas",57765
51065,"Fluvanna County, Virginia",74931
72015,"Arroyo Municipio, Puerto Rico",16976
19189,"Winnebago County, Iowa",51002
02195,"Petersburg Borough, Alaska",66907
72045,"Comerï¿½o Municipio, Puerto Rico",12812
20005,"Atchison County, Kansas",48667
17121,"Marion County, Illinois",46102
48015,"Austin County, Texas",65365
48017,"Bailey County, Texas",46485
02261,"Valdez-Cordova Census Area, Alaska",82306
32011,"Eureka County, Nevada",77625
26105,"Mason County, Michigan",49663
27143,"Sibley County, Minnesota",62761
23007,"Franklin County, Maine",48053
18169,"Wabash County, Indiana",50637
29041,"Chariton County, Missouri",46992
51103,"Lancaster County, Virginia",50739
39037,"Darke County, Ohio",52691
48353,"Nolan County, Texas",44346
13105,"Elbert County, Georgia",37943
04009,"Graham County, Arizona",51352
21203,"Rockcastle County, Kentucky",36468
47007,"Bledsoe County, Tennessee",42889
48063,"Camp County, Texas",42604
53035,"Kitsap County, Washington",71610
06029,"Kern County, California",52479
39111,"Monroe County, Ohio",43956
48469,"Victoria County, Texas",55631
19193,"Woodbury County, Iowa",55483
21037,"Campbell County, Kentucky",59782
36003,"Allegany County, New York",47033
51127,"New Kent County, Virginia",79698
19057,"Des Moines County, Iowa",49977
19027,"Carroll County, Iowa",57674
12021,"Collier County, Florida",65675
55069,"Lincoln County, Wisconsin",56086
56045,"Weston County, Wyoming",52867
47131,"Obion County, Tennessee",39866
01087,"Macon County, Alabama",32074
21027,"Breckinridge County, Kentucky",48189
29161,"Phelps County, Missouri",42846
32029,"Storey County, Nevada",62284
31115,"Loup County, Nebraska",53125
38063,"Nelson County, North Dakota",48798
21193,"Perry County, Kentucky",31046
21195,"Pike County, Kentucky",34081
26025,"Calhoun County, Michigan",47426
40011,"Blaine County, Oklahoma",50391
13229,"Pierce County, Georgia",44167
08047,"Gilpin County, Colorado",75120
13307,"Webster County, Georgia",35755
47023,"Chester County, Tennessee",45667
39163,"Vinton County, Ohio",42114
27111,"Otter Tail County, Minnesota",57131
06071,"San Bernardino County, California",60164
31019,"Buffalo County, Nebraska",56952
40083,"Logan County, Oklahoma",62035
18057,"Hamilton County, Indiana",94644
17179,"Tazewell County, Illinois",62342
19115,"Louisa County, Iowa",53943
