Year,Volcano Name,Country,Elevation,Volcanic Explosivity Index,Latitude,Longitude
1901,Kelut,Indonesia,1731,3.0,-7.93,112.308
1911,Taal,Philippines,400,3.0,14.002,120.993
1917,"Lengai, Ol Doinyo",Tanzania,2890,3.0,-2.751,35.902
1941,Semeru,Indonesia,3676,2.0,-8.108,112.92
1944,Usu,Japan,731,2.0,42.53,140.83
1947,Hekla,Iceland,1491,4.0,63.98,-19.7
1979,Etna,Italy,3350,2.0,37.734,15.004
1982,Galunggung,Indonesia,2168,4.0,-7.25,108.05
1988,Arenal,Costa Rica,1657,3.0,10.463,-84.703
60,Bona-Churchill,United States,5005,6.0,61.38,-141.75
1631,Vesuvius,Italy,1281,5.0,40.821,14.426
1682,Vesuvius,Italy,1281,3.0,40.821,14.426
1757,San Jorge,Portugal,1053,0.0,38.65,-28.08
1812,Soufriere St. Vincent,St. Vincent & the Grenadines,1220,4.0,13.33,-61.18
1827,Avachinsky,Russia,2741,2.0,53.255,158.83
1846,Tangkubanparahu,Indonesia,2084,2.0,-6.77,107.6
1856,Komaga-take,Japan,1140,4.0,42.07,140.68
1883,Augustine,United States,1252,4.0,59.37,-153.42
1914,Sakura-jima,Japan,1117,4.0,31.58,130.67
1919,Stromboli,Italy,926,3.0,38.789,15.213
1927,Esjufjoll,Iceland,1760,1.0,64.27,-16.65
1944,Vesuvius,Italy,1281,2.0,40.821,14.426
1949,Camiguin,Philippines,1332,3.0,9.203,124.673
1953,Myojun Knoll,Japan,360,2.0,32.1,139.85
1968,Arenal,Costa Rica,1657,3.0,10.463,-84.703
1981,Alaid,Russia,2339,2.0,50.858,155.55
1997,Soufriere Hills,Montserrat,915,3.0,16.72,-62.18
2002,Semeru,Indonesia,3676,3.0,-8.108,112.92
2006,Tungurahua,Ecuador,5023,3.0,-1.467,-78.442
-4360,Macauley Island,New Zealand,238,6.0,-30.2,-178.47
-4000,Pago,Papua New Guinea,742,6.0,-5.58,150.52
-50,Apoyeque,Nicaragua,518,6.0,12.242,-86.342
46,Santorini,Greece,329,3.0,36.404,25.396
787,Vesuvius,Italy,1281,3.0,40.821,14.426
1536,Etna,Italy,3350,3.0,37.734,15.004
1726,Bardarbunga,Iceland,2000,1.0,64.63,-17.53
1730,Raung,Indonesia,3332,3.0,-8.125,114.042
1742,Cotopaxi,Ecuador,5911,3.0,-0.677,-78.436
1749,Taal,Philippines,400,3.0,14.002,120.993
1824,Shishaldin,United States,2857,3.0,54.75,-163.97
1848,Kelut,Indonesia,1731,2.0,-7.93,112.308
1892,Tofua,Tonga,512,2.0,-19.75,-175.07
1897,Mayon,Philippines,2462,3.0,13.257,123.685
1912,Nyamuragira,"Congo, DRC",3058,3.0,-1.408,29.2
1919,Popocatepetl,Mexico,5426,1.0,19.023,-98.622
1929,Etna,Italy,3350,2.0,37.734,15.004
1939,Tori-shima,Japan,403,2.0,30.48,140.32
1940,Karangetang [Api Siau],Indonesia,1784,2.0,2.78,125.48
1947,Asama,Japan,2560,2.0,36.4,138.53
1957,Oshima,Japan,758,2.0,34.73,139.38
1979,Aso,Japan,1592,2.0,32.88,131.1
1994,Aso,Japan,1592,1.0,32.88,131.1
2001,Etna,Italy,3350,3.0,37.734,15.004
2011,Bulusan,Philippines,1565,2.0,12.77,124.05
-1460,Taupo,New Zealand,760,6.0,-38.82,176.0
1000,Changbaishan,North Korea,2744,7.0,41.98,128.08
1727,Oraefajokull,Iceland,2119,4.0,64.0,-16.65
1826,Kelut,Indonesia,1731,3.0,-7.93,112.308
1868,Mauna Loa,United States,4170,2.0,19.475,-155.608
1869,Lewotobi,Indonesia,1703,2.0,-8.53,122.775
1895,Dakataua,Papua New Guinea,400,2.0,-5.056,150.108
1900,Adatara,Japan,1718,2.0,37.62,140.28
1902,Merapi,Indonesia,2947,2.0,-7.542,110.442
1907,Lewotobi,Indonesia,1703,2.0,-8.53,122.775
1913,Awu,Indonesia,1320,2.0,3.67,125.5
1930,Asama,Japan,2560,3.0,36.4,138.53
1938,Nyamuragira,"Congo, DRC",3058,1.0,-1.408,29.2
1938,Mayon,Philippines,2462,2.0,13.257,123.685
1958,Mahawu,Indonesia,1324,2.0,1.358,124.858
1964,Paluweh,Indonesia,875,2.0,-8.32,121.708
1992,Spurr,United States,3374,4.0,61.3,-152.25
2000,Arenal,Costa Rica,1657,3.0,10.463,-84.703
2010,Pacaya,Guatemala,2552,1.0,14.381,-90.601
1334,Kelut,Indonesia,1731,3.0,-7.93,112.308
1564,Gamkonora,Indonesia,1635,3.0,1.375,127.52
1711,Awu,Indonesia,1320,3.0,3.67,125.5
