OBJECTID,NAME,No H.S.,Some H.S.,H.S. Graduate,GED,Some College,Associate Degree,Bachelor Degree,Graduate Degree,Educational Base Pop.
127,Menlo Park,257,478,649,156,684,123,474,436,3257
128,Silverbell Terrace,1,8,10,5,30,25,14,12,105
129,Broadway Pantano East,93,301,698,128,1424,470,494,217,3825
130,Miles,0,0,153,13,135,79,109,29,518
131,Sierra Estates,2,2,13,2,14,6,9,6,54
132,Silvercroft,34,26,37,11,45,12,21,11,197
133,Brichta,10,15,38,9,118,33,59,47,329
134,Cherry Avenue,512,1102,1580,384,1493,394,368,145,5978
135,Fairgrounds,270,306,396,64,232,64,51,26,1409
136,Bravo Park Lane,350,355,621,73,529,101,131,105,2265
137,Feldman`s,30,77,74,37,252,96,293,281,1140
138,Sugar Hill,32,29,81,4,326,60,239,82,853
139,Toumey Park,175,140,346,65,321,118,144,154,1463
140,El Encanto Estates,5,2,31,5,37,8,74,107,269
141,Colonia Solana,0,0,13,0,24,34,89,87,247
142,Winterhaven,4,9,40,25,70,54,150,98,450
143,Barrio Kroeger Lane,18,35,29,29,49,12,16,11,199
144,Palo Verde Park,87,266,685,178,595,214,451,435,2911
145,Aldea Linda,4,3,47,14,48,4,33,19,172
146,St. Cyrils,36,46,345,106,639,156,301,186,1815
147,Arcadia Rose,4,10,72,13,89,25,63,41,317
148,Saguaro Canyon,3,18,65,11,107,44,109,82,439
149,Barrio Nopal,606,531,849,375,790,174,155,81,3561
150,Santiago Hills,12,48,112,17,178,72,141,127,707
151,Coronado Heights,71,173,160,66,288,76,92,35,961
152,Harold Bell Wright Estates,0,44,145,0,223,68,122,197,799
153,Carriage Park,51,297,1302,155,1504,505,1007,596,5417
154,Copper Vista,212,281,364,87,144,70,83,10,1251
155,West Lamar City Acres,5,35,69,13,103,14,14,8,261
156,Loma Verde,14,25,77,18,72,18,74,74,372
157,Downtown,2,1,20,5,27,2,50,16,123
158,Barrio Santa Cruz,10,34,20,12,40,6,12,10,144
159,Bonanza,66,94,494,156,1046,666,912,357,3791
