OBJECTID,NAME,2019 White Pop.,2019 Black Pop.,2019 Native American Pop.,2019 Asian pop.,2019 Pacific Islander Pop.,2019 Other Race,2019 races 2+ pop.,2019 Hisp. Pop.,2019 Minority Pop.,2019 Base Pop.,2019 Diversity Index
87,Rillito,1048,71,28,157,3,139,99,413,721,1545,71.2
88,Rincon Heights,1637,70,53,176,6,218,111,605,958,2271,67.9
89,Rita Ranch,13274,987,129,707,76,1172,975,4653,6955,17320,64
90,Roberts,1231,235,72,197,6,505,96,1366,1872,2342,84.9
91,Rose,1359,26,108,6,0,645,52,2056,2118,2196,66
92,Rosemont West,1211,47,18,56,3,165,94,529,686,1594,67.7
93,Saguaro Miraflores,492,33,12,31,0,84,38,310,391,690,74.1
94,Sam Hughes,4141,120,61,178,6,194,161,917,1367,4861,49.5
95,Samos,841,24,35,24,1,64,40,269,353,1029,58.7
96,San Carlos,133,13,4,4,1,21,9,55,80,185,69.8
97,San Clemente,546,21,8,23,0,73,37,220,289,708,65.9
98,San Gabriel,659,33,13,24,0,104,52,325,409,885,70.1
99,San Ignacio Yaqui,228,62,126,9,1,140,31,329,499,597,89.9
100,Santa Cruz Southwest,1609,53,135,22,6,986,112,2326,2470,2923,79.4
101,Santa Rita Park - West Ochoa,1087,160,142,9,1,516,97,1378,1653,2012,82.8
102,Sewell,530,33,12,33,0,76,37,204,300,721,67.6
103,South Harrison,5028,396,75,278,33,418,268,1659,2518,6496,62.5
104,South Park,1740,412,131,58,6,1190,142,2762,3323,3679,85.1
105,Cabrini,1434,158,76,41,10,219,132,709,1042,2070,73.2
106,Starr Pass,1362,68,44,52,8,213,66,741,907,1813,70.7
107,Stella Mann,2752,439,78,182,19,692,341,1708,2525,4503,79.6
108,Sunnyside,8953,261,743,76,13,4943,460,13975,14723,15449,72
109,Sunset Villa,733,40,74,16,2,388,40,1078,1169,1293,76.4
110,Swan Way Park,742,93,28,69,16,92,57,281,505,1097,70.9
111,Terra Del Sol,3385,251,69,101,18,551,256,1498,1997,4631,69.7
112,Thunderbird Heights/Wilmot Desert Esta,768,29,11,46,2,62,36,204,314,954,56.8
113,Tucson Park West #1,846,71,38,51,5,148,39,538,702,1198,74.5
114,Vista Del Monte,1282,93,37,30,7,138,74,426,624,1661,62.9
115,Wakefield,2526,61,282,17,7,1709,130,4320,4539,4732,75.7
116,West University,3479,153,89,360,7,232,228,853,1573,4548,58.8
117,Western Hills II,430,211,50,14,3,303,61,744,1000,1072,88.4
118,Wilshire Heights,276,7,2,10,0,29,12,98,120,336,60.5
119,Rancho Perdido Estates,65,4,1,3,0,4,4,16,26,81,54.8
120,Mesquite Ranch,1473,98,13,86,7,69,83,378,615,1829,56.1
121,Desert Aire/Loma Linda,363,17,5,26,4,31,25,134,203,471,64.4
122,Millville,162,21,17,3,0,40,12,146,182,255,78.8
123,Sombras Del Cerro,0,0,0,0,0,0,0,0,0,0,0
124,Rancho Buena,2210,162,149,42,4,1805,174,3679,4024,4546,83.5
125,Rosemont East,166,6,2,24,0,19,9,53,91,226,64.6
126,Udall Park,275,7,2,14,0,16,18,68,101,332,53.4
127,Menlo Park,2870,166,266,102,6,1304,153,3520,3953,4867,78.9
128,Silverbell Terrace,95,7,3,11,0,40,7,97,120,163,82.1
129,Broadway Pantano East,4107,486,64,139,24,533,346,1498,2337,5699,67.7
130,Miles,601,40,31,27,2,124,45,395,509,870,75.8
131,Sierra Estates,44,8,2,7,1,14,5,30,48,81,83
132,Silvercroft,147,18,15,2,0,132,14,271,300,328,85.5
