STATE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
NH,1,Minimal,2017-10-28,43,2017-18
WA,1,Minimal,2017-10-28,43,2017-18
MS,3,Minimal,2017-10-28,43,2017-18
NC,1,Minimal,2017-10-28,43,2017-18
ID,1,Minimal,2017-10-28,43,2017-18
ME,1,Minimal,2017-10-28,43,2017-18
AZ,2,Minimal,2017-10-28,43,2017-18
MI,1,Minimal,2017-10-28,43,2017-18
OH,1,Minimal,2017-10-28,43,2017-18
HI,1,Minimal,2017-10-28,43,2017-18
VT,1,Minimal,2017-10-28,43,2017-18
UT,1,Minimal,2017-10-28,43,2017-18
NV,1,Minimal,2017-10-28,43,2017-18
WY,3,Minimal,2017-10-28,43,2017-18
LA,5,Low,2017-10-28,43,2017-18
CA,1,Minimal,2017-10-28,43,2017-18
WV,1,Minimal,2017-10-28,43,2017-18
KS,1,Minimal,2017-10-28,43,2017-18
RI,1,Minimal,2017-10-28,43,2017-18
WI,1,Minimal,2017-10-28,43,2017-18
TX,1,Minimal,2017-10-28,43,2017-18
MA,1,Minimal,2017-10-28,43,2017-18
NE,2,Minimal,2017-10-28,43,2017-18
IL,1,Minimal,2017-10-28,43,2017-18
MO,1,Minimal,2017-10-28,43,2017-18
MD,1,Minimal,2017-10-28,43,2017-18
CT,1,Minimal,2017-10-28,43,2017-18
OR,1,Minimal,2017-10-28,43,2017-18
SD,3,Minimal,2017-10-28,43,2017-18
DE,1,Minimal,2017-10-28,43,2017-18
NY,1,Minimal,2017-11-04,44,2017-18
CO,2,Minimal,2017-11-04,44,2017-18
WI,1,Minimal,2017-11-04,44,2017-18
ME,1,Minimal,2017-11-04,44,2017-18
WY,3,Minimal,2017-11-04,44,2017-18
OR,2,Minimal,2017-11-04,44,2017-18
IA,1,Minimal,2017-11-04,44,2017-18
NJ,2,Minimal,2017-11-04,44,2017-18
KS,1,Minimal,2017-11-04,44,2017-18
PA,2,Minimal,2017-11-04,44,2017-18
VA,2,Minimal,2017-11-04,44,2017-18
NC,1,Minimal,2017-11-04,44,2017-18
AL,4,Low,2017-11-04,44,2017-18
KY,1,Minimal,2017-11-04,44,2017-18
